,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,text
2,26,29,2,31,29,fuck !
13,5,3,19,4,36,LOOOOOOL
29,25,12,31,5,27,nice hat ?
0,1,6,4,35,8,# RockyFire Update = > California Hwy . 20 close direction Lake County fire - # cafire # wildfire
4,4,0,29,8,17,Haha South Tampa getting flood hah- WAIT second live SOUTH tampa GONNA GONNA FVCK # flood
18,8,19,7,29,10,"# flood # disaster heavy rain cause flash flooding street Manitou , Colorado Springs area"
15,24,25,3,14,25,summer lovely
14,18,8,5,27,20,damage school bus 80 multi car crash # break
11,30,13,11,12,31,ridiculous ....
1,31,33,18,16,16,people die heat wave far
5,19,20,16,22,1,deed Reason # earthquake ALLAH forgive
25,16,26,1,26,4,forest fire near La Ronge Sask . Canada
23,27,28,12,18,37,way ... eat shit
9,9,24,34,9,0,happen terrible car crash
28,21,10,14,11,24,love fruit
17,7,17,26,20,15,afraid tornado come area ...
7,13,16,0,19,13,hill fire wood ...
8,15,27,27,2,34,wonderful day !
20,10,1,23,28,21,"probably life Arsenal yesterday , eh ? eh ?"
10,2,2,33,24,23,man ?
3,0,11,13,17,30,like cold !
6,20,22,32,1,12,shake ... earthquake
26,23,30,28,10,6,"13,000 people receive # wildfire evacuation order California"
12,11,21,6,3,32,London cool ;)
16,17,7,17,6,3,"forest fire spot pond , geese flee street , save"
22,6,23,20,34,39,love girlfriend
21,3,9,9,15,22,hey ! ?
24,12,5,24,7,2,"hear # earthquake different city , stay safe ."
